product_id,family,collection,variant_size,margin_pct,price_cents,cost_basis_currency,base_eu_costbasis,base_uk_costbasis,base_us_costbasis_converted,base_au_costbasis_converted,revenue_costbasis,eu_margin_costbasis,us_margin_costbasis,au_margin_costbasis,us_eu_ratio,uk_diverges_from_eu,status_us
photo-halcyon-katwijk-275-pos-7x5-pack50,pos,the-halcyon-collection,7x5,350,17550,GBP,39.0,39.0,,,175.5,136.5,,,,no,NO-US-DATA
photo-halcyon-katwijk-275-pos-7x5-pack100,pos,the-halcyon-collection,7x5,350,32850,GBP,73.0,73.0,,,328.5,255.5,,,,no,NO-US-DATA
photo-halcyon-katwijk-281-can-16x12,can,the-halcyon-collection,16x12,70,4080,GBP,24.0,24.0,,,40.8,16.799999999999997,,,,no,NO-US-DATA
photo-halcyon-katwijk-281-can-20x16,can,the-halcyon-collection,20x16,70,5100,GBP,30.0,30.0,,,51.0,21.0,,,,no,NO-US-DATA
photo-halcyon-katwijk-281-can-40x30,can,the-halcyon-collection,40x30,70,10880,GBP,64.0,64.0,,,108.8,44.8,,,,no,NO-US-DATA
photo-halcyon-katwijk-281-ema-a5,ema,the-halcyon-collection,a5,70,595,GBP,3.5,3.5,5.55,,5.95,2.45,0.40000000000000036,,1.586,no,EROSION
photo-halcyon-katwijk-281-ema-a4,ema,the-halcyon-collection,a4,70,850,GBP,5.0,5.0,8.14,,8.5,3.5,0.35999999999999943,,1.628,no,EROSION
photo-halcyon-katwijk-281-ema-a3,ema,the-halcyon-collection,a3,70,1190,GBP,7.0,7.0,10.36,,11.9,4.9,1.540000000000001,,1.48,no,EROSION
photo-halcyon-katwijk-281-fap-a4-black,fap,the-halcyon-collection,a4,60,5600,GBP,35.0,35.0,,,56.0,21.0,,,,no,NO-US-DATA
photo-halcyon-katwijk-281-fap-a4-natural-oak,fap,the-halcyon-collection,a4,60,5600,GBP,35.0,35.0,,,56.0,21.0,,,,no,NO-US-DATA
photo-halcyon-katwijk-281-fap-a4-white,fap,the-halcyon-collection,a4,60,5600,GBP,35.0,35.0,,,56.0,21.0,,,,no,NO-US-DATA
photo-halcyon-katwijk-281-fap-a3-black,fap,the-halcyon-collection,a3,60,8000,GBP,50.0,50.0,,,80.0,30.0,,,,no,NO-US-DATA
photo-halcyon-katwijk-281-fap-a3-natural-oak,fap,the-halcyon-collection,a3,60,8000,GBP,50.0,50.0,,,80.0,30.0,,,,no,NO-US-DATA
photo-halcyon-katwijk-281-fap-a3-white,fap,the-halcyon-collection,a3,60,8000,GBP,50.0,50.0,,,80.0,30.0,,,,no,NO-US-DATA
photo-halcyon-katwijk-281-hge-a5,hge,the-halcyon-collection,a5,50,600,GBP,4.0,4.0,5.92,,6.0,2.0,0.08000000000000007,,1.48,no,EROSION
photo-halcyon-katwijk-281-hge-a4,hge,the-halcyon-collection,a4,50,900,GBP,6.0,6.0,8.14,,9.0,3.0,0.8599999999999994,,1.357,no,EROSION
photo-halcyon-katwijk-281-hge-a3,hge,the-halcyon-collection,a3,50,1800,GBP,12.0,12.0,11.84,,18.0,6.0,6.16,,0.987,no,OK
photo-halcyon-katwijk-281-hpr-a5,hpr,the-halcyon-collection,a5,50,600,GBP,4.0,4.0,5.92,6.98,6.0,2.0,0.08000000000000007,-0.9800000000000004,1.48,no,EROSION
photo-halcyon-katwijk-281-hpr-a4,hpr,the-halcyon-collection,a4,50,900,GBP,6.0,6.0,8.14,9.12,9.0,3.0,0.8599999999999994,-0.11999999999999922,1.357,no,EROSION
photo-halcyon-katwijk-281-hpr-a3,hpr,the-halcyon-collection,a3,50,1800,GBP,12.0,12.0,11.84,13.42,18.0,6.0,6.16,4.58,0.987,no,OK
photo-halcyon-katwijk-281-pos-6x4-pack10,pos,the-halcyon-collection,6x4,350,2700,GBP,6.0,6.0,,,27.0,21.0,,,,no,NO-US-DATA
photo-halcyon-katwijk-281-pos-6x4-pack20,pos,the-halcyon-collection,6x4,350,4950,GBP,11.0,11.0,,,49.5,38.5,,,,no,NO-US-DATA
photo-halcyon-katwijk-281-pos-6x4-pack50,pos,the-halcyon-collection,6x4,350,11250,GBP,25.0,25.0,,,112.5,87.5,,,,no,NO-US-DATA
photo-halcyon-katwijk-281-pos-6x4-pack100,pos,the-halcyon-collection,6x4,350,19800,GBP,44.0,44.0,,,198.0,154.0,,,,no,NO-US-DATA
photo-halcyon-katwijk-281-pos-7x5-pack10,pos,the-halcyon-collection,7x5,350,4050,GBP,9.0,9.0,,,40.5,31.5,,,,no,NO-US-DATA
photo-halcyon-katwijk-281-pos-7x5-pack20,pos,the-halcyon-collection,7x5,350,7200,GBP,16.0,16.0,,,72.0,56.0,,,,no,NO-US-DATA
photo-halcyon-katwijk-281-pos-7x5-pack50,pos,the-halcyon-collection,7x5,350,17550,GBP,39.0,39.0,,,175.5,136.5,,,,no,NO-US-DATA
photo-halcyon-katwijk-281-pos-7x5-pack100,pos,the-halcyon-collection,7x5,350,32850,GBP,73.0,73.0,,,328.5,255.5,,,,no,NO-US-DATA
photo-halcyon-katwijk-293-can-16x12,can,the-halcyon-collection,16x12,70,4080,GBP,24.0,24.0,,,40.8,16.799999999999997,,,,no,NO-US-DATA
photo-halcyon-katwijk-293-can-20x16,can,the-halcyon-collection,20x16,70,5100,GBP,30.0,30.0,,,51.0,21.0,,,,no,NO-US-DATA
photo-halcyon-katwijk-293-can-40x30,can,the-halcyon-collection,40x30,70,10880,GBP,64.0,64.0,,,108.8,44.8,,,,no,NO-US-DATA
photo-halcyon-katwijk-293-ema-a5,ema,the-halcyon-collection,a5,70,595,GBP,3.5,3.5,5.55,,5.95,2.45,0.40000000000000036,,1.586,no,EROSION
photo-halcyon-katwijk-293-ema-a4,ema,the-halcyon-collection,a4,70,850,GBP,5.0,5.0,8.14,,8.5,3.5,0.35999999999999943,,1.628,no,EROSION
photo-halcyon-katwijk-293-ema-a3,ema,the-halcyon-collection,a3,70,1190,GBP,7.0,7.0,10.36,,11.9,4.9,1.540000000000001,,1.48,no,EROSION
photo-halcyon-katwijk-293-fap-a4-black,fap,the-halcyon-collection,a4,60,5600,GBP,35.0,35.0,,,56.0,21.0,,,,no,NO-US-DATA
photo-halcyon-katwijk-293-fap-a4-natural-oak,fap,the-halcyon-collection,a4,60,5600,GBP,35.0,35.0,,,56.0,21.0,,,,no,NO-US-DATA
photo-halcyon-katwijk-293-fap-a4-white,fap,the-halcyon-collection,a4,60,5600,GBP,35.0,35.0,,,56.0,21.0,,,,no,NO-US-DATA
photo-halcyon-katwijk-293-fap-a3-black,fap,the-halcyon-collection,a3,60,8000,GBP,50.0,50.0,,,80.0,30.0,,,,no,NO-US-DATA
photo-halcyon-katwijk-293-fap-a3-natural-oak,fap,the-halcyon-collection,a3,60,8000,GBP,50.0,50.0,,,80.0,30.0,,,,no,NO-US-DATA
photo-halcyon-katwijk-293-fap-a3-white,fap,the-halcyon-collection,a3,60,8000,GBP,50.0,50.0,,,80.0,30.0,,,,no,NO-US-DATA
photo-halcyon-katwijk-293-hge-a5,hge,the-halcyon-collection,a5,50,600,GBP,4.0,4.0,5.92,,6.0,2.0,0.08000000000000007,,1.48,no,EROSION
photo-halcyon-katwijk-293-hge-a4,hge,the-halcyon-collection,a4,50,900,GBP,6.0,6.0,8.14,,9.0,3.0,0.8599999999999994,,1.357,no,EROSION
photo-halcyon-katwijk-293-hge-a3,hge,the-halcyon-collection,a3,50,1800,GBP,12.0,12.0,11.84,,18.0,6.0,6.16,,0.987,no,OK
photo-halcyon-katwijk-293-hpr-a5,hpr,the-halcyon-collection,a5,50,600,GBP,4.0,4.0,5.92,6.98,6.0,2.0,0.08000000000000007,-0.9800000000000004,1.48,no,EROSION
photo-halcyon-katwijk-293-hpr-a4,hpr,the-halcyon-collection,a4,50,900,GBP,6.0,6.0,8.14,9.12,9.0,3.0,0.8599999999999994,-0.11999999999999922,1.357,no,EROSION
photo-halcyon-katwijk-293-hpr-a3,hpr,the-halcyon-collection,a3,50,1800,GBP,12.0,12.0,11.84,13.42,18.0,6.0,6.16,4.58,0.987,no,OK
photo-halcyon-katwijk-293-pos-6x4-pack10,pos,the-halcyon-collection,6x4,350,2700,GBP,6.0,6.0,,,27.0,21.0,,,,no,NO-US-DATA
photo-halcyon-katwijk-293-pos-6x4-pack20,pos,the-halcyon-collection,6x4,350,4950,GBP,11.0,11.0,,,49.5,38.5,,,,no,NO-US-DATA
photo-halcyon-katwijk-293-pos-6x4-pack50,pos,the-halcyon-collection,6x4,350,11250,GBP,25.0,25.0,,,112.5,87.5,,,,no,NO-US-DATA
photo-halcyon-katwijk-293-pos-6x4-pack100,pos,the-halcyon-collection,6x4,350,19800,GBP,44.0,44.0,,,198.0,154.0,,,,no,NO-US-DATA
photo-halcyon-katwijk-293-pos-7x5-pack10,pos,the-halcyon-collection,7x5,350,4050,GBP,9.0,9.0,,,40.5,31.5,,,,no,NO-US-DATA
photo-halcyon-katwijk-293-pos-7x5-pack20,pos,the-halcyon-collection,7x5,350,7200,GBP,16.0,16.0,,,72.0,56.0,,,,no,NO-US-DATA
photo-halcyon-katwijk-293-pos-7x5-pack50,pos,the-halcyon-collection,7x5,350,17550,GBP,39.0,39.0,,,175.5,136.5,,,,no,NO-US-DATA
photo-halcyon-katwijk-293-pos-7x5-pack100,pos,the-halcyon-collection,7x5,350,32850,GBP,73.0,73.0,,,328.5,255.5,,,,no,NO-US-DATA
photo-halcyon-katwijk-315-can-16x12,can,the-halcyon-collection,16x12,70,4080,GBP,24.0,24.0,,,40.8,16.799999999999997,,,,no,NO-US-DATA
photo-halcyon-katwijk-315-can-20x16,can,the-halcyon-collection,20x16,70,5100,GBP,30.0,30.0,,,51.0,21.0,,,,no,NO-US-DATA
photo-halcyon-katwijk-315-can-40x30,can,the-halcyon-collection,40x30,70,10880,GBP,64.0,64.0,,,108.8,44.8,,,,no,NO-US-DATA
photo-halcyon-katwijk-315-ema-a5,ema,the-halcyon-collection,a5,70,595,GBP,3.5,3.5,5.55,,5.95,2.45,0.40000000000000036,,1.586,no,EROSION
photo-halcyon-katwijk-315-ema-a4,ema,the-halcyon-collection,a4,70,850,GBP,5.0,5.0,8.14,,8.5,3.5,0.35999999999999943,,1.628,no,EROSION
photo-halcyon-katwijk-315-ema-a3,ema,the-halcyon-collection,a3,70,1190,GBP,7.0,7.0,10.36,,11.9,4.9,1.540000000000001,,1.48,no,EROSION
photo-halcyon-katwijk-315-fap-a4-black,fap,the-halcyon-collection,a4,60,5600,GBP,35.0,35.0,,,56.0,21.0,,,,no,NO-US-DATA
photo-halcyon-katwijk-315-fap-a4-natural-oak,fap,the-halcyon-collection,a4,60,5600,GBP,35.0,35.0,,,56.0,21.0,,,,no,NO-US-DATA
photo-halcyon-katwijk-315-fap-a4-white,fap,the-halcyon-collection,a4,60,5600,GBP,35.0,35.0,,,56.0,21.0,,,,no,NO-US-DATA
photo-halcyon-katwijk-315-fap-a3-black,fap,the-halcyon-collection,a3,60,8000,GBP,50.0,50.0,,,80.0,30.0,,,,no,NO-US-DATA
photo-halcyon-katwijk-315-fap-a3-natural-oak,fap,the-halcyon-collection,a3,60,8000,GBP,50.0,50.0,,,80.0,30.0,,,,no,NO-US-DATA
photo-halcyon-katwijk-315-fap-a3-white,fap,the-halcyon-collection,a3,60,8000,GBP,50.0,50.0,,,80.0,30.0,,,,no,NO-US-DATA
photo-halcyon-katwijk-315-hge-a5,hge,the-halcyon-collection,a5,50,600,GBP,4.0,4.0,5.92,,6.0,2.0,0.08000000000000007,,1.48,no,EROSION
photo-halcyon-katwijk-315-hge-a4,hge,the-halcyon-collection,a4,50,900,GBP,6.0,6.0,8.14,,9.0,3.0,0.8599999999999994,,1.357,no,EROSION
photo-halcyon-katwijk-315-hge-a3,hge,the-halcyon-collection,a3,50,1800,GBP,12.0,12.0,11.84,,18.0,6.0,6.16,,0.987,no,OK
photo-halcyon-katwijk-315-hpr-a5,hpr,the-halcyon-collection,a5,50,600,GBP,4.0,4.0,5.92,6.98,6.0,2.0,0.08000000000000007,-0.9800000000000004,1.48,no,EROSION
photo-halcyon-katwijk-315-hpr-a4,hpr,the-halcyon-collection,a4,50,900,GBP,6.0,6.0,8.14,9.12,9.0,3.0,0.8599999999999994,-0.11999999999999922,1.357,no,EROSION
photo-halcyon-katwijk-315-hpr-a3,hpr,the-halcyon-collection,a3,50,1800,GBP,12.0,12.0,11.84,13.42,18.0,6.0,6.16,4.58,0.987,no,OK
photo-halcyon-katwijk-315-pos-6x4-pack10,pos,the-halcyon-collection,6x4,350,2700,GBP,6.0,6.0,,,27.0,21.0,,,,no,NO-US-DATA
photo-halcyon-katwijk-315-pos-6x4-pack20,pos,the-halcyon-collection,6x4,350,4950,GBP,11.0,11.0,,,49.5,38.5,,,,no,NO-US-DATA
photo-halcyon-katwijk-315-pos-6x4-pack50,pos,the-halcyon-collection,6x4,350,11250,GBP,25.0,25.0,,,112.5,87.5,,,,no,NO-US-DATA
photo-halcyon-katwijk-315-pos-6x4-pack100,pos,the-halcyon-collection,6x4,350,19800,GBP,44.0,44.0,,,198.0,154.0,,,,no,NO-US-DATA
photo-halcyon-katwijk-315-pos-7x5-pack10,pos,the-halcyon-collection,7x5,350,4050,GBP,9.0,9.0,,,40.5,31.5,,,,no,NO-US-DATA
photo-halcyon-katwijk-315-pos-7x5-pack20,pos,the-halcyon-collection,7x5,350,7200,GBP,16.0,16.0,,,72.0,56.0,,,,no,NO-US-DATA
photo-halcyon-katwijk-315-pos-7x5-pack50,pos,the-halcyon-collection,7x5,350,17550,GBP,39.0,39.0,,,175.5,136.5,,,,no,NO-US-DATA
photo-halcyon-katwijk-315-pos-7x5-pack100,pos,the-halcyon-collection,7x5,350,32850,GBP,73.0,73.0,,,328.5,255.5,,,,no,NO-US-DATA
photo-halcyon-katwijk-338-can-16x12,can,the-halcyon-collection,16x12,70,4080,GBP,24.0,24.0,,,40.8,16.799999999999997,,,,no,NO-US-DATA
photo-halcyon-katwijk-338-can-20x16,can,the-halcyon-collection,20x16,70,5100,GBP,30.0,30.0,,,51.0,21.0,,,,no,NO-US-DATA
photo-halcyon-katwijk-338-can-40x30,can,the-halcyon-collection,40x30,70,10880,GBP,64.0,64.0,,,108.8,44.8,,,,no,NO-US-DATA
photo-halcyon-katwijk-338-ema-a5,ema,the-halcyon-collection,a5,70,595,GBP,3.5,3.5,5.55,,5.95,2.45,0.40000000000000036,,1.586,no,EROSION
photo-halcyon-katwijk-338-ema-a4,ema,the-halcyon-collection,a4,70,850,GBP,5.0,5.0,8.14,,8.5,3.5,0.35999999999999943,,1.628,no,EROSION
photo-halcyon-katwijk-338-ema-a3,ema,the-halcyon-collection,a3,70,1190,GBP,7.0,7.0,10.36,,11.9,4.9,1.540000000000001,,1.48,no,EROSION
photo-halcyon-katwijk-338-fap-a4-black,fap,the-halcyon-collection,a4,60,5600,GBP,35.0,35.0,,,56.0,21.0,,,,no,NO-US-DATA
photo-halcyon-katwijk-338-fap-a4-natural-oak,fap,the-halcyon-collection,a4,60,5600,GBP,35.0,35.0,,,56.0,21.0,,,,no,NO-US-DATA
photo-halcyon-katwijk-338-fap-a4-white,fap,the-halcyon-collection,a4,60,5600,GBP,35.0,35.0,,,56.0,21.0,,,,no,NO-US-DATA
photo-halcyon-katwijk-338-fap-a3-black,fap,the-halcyon-collection,a3,60,8000,GBP,50.0,50.0,,,80.0,30.0,,,,no,NO-US-DATA
photo-halcyon-katwijk-338-fap-a3-natural-oak,fap,the-halcyon-collection,a3,60,8000,GBP,50.0,50.0,,,80.0,30.0,,,,no,NO-US-DATA
photo-halcyon-katwijk-338-fap-a3-white,fap,the-halcyon-collection,a3,60,8000,GBP,50.0,50.0,,,80.0,30.0,,,,no,NO-US-DATA
photo-halcyon-katwijk-338-hge-a5,hge,the-halcyon-collection,a5,50,600,GBP,4.0,4.0,5.92,,6.0,2.0,0.08000000000000007,,1.48,no,EROSION
photo-halcyon-katwijk-338-hge-a4,hge,the-halcyon-collection,a4,50,900,GBP,6.0,6.0,8.14,,9.0,3.0,0.8599999999999994,,1.357,no,EROSION
photo-halcyon-katwijk-338-hge-a3,hge,the-halcyon-collection,a3,50,1800,GBP,12.0,12.0,11.84,,18.0,6.0,6.16,,0.987,no,OK
photo-halcyon-katwijk-338-hpr-a5,hpr,the-halcyon-collection,a5,50,600,GBP,4.0,4.0,5.92,6.98,6.0,2.0,0.08000000000000007,-0.9800000000000004,1.48,no,EROSION
photo-halcyon-katwijk-338-hpr-a4,hpr,the-halcyon-collection,a4,50,900,GBP,6.0,6.0,8.14,9.12,9.0,3.0,0.8599999999999994,-0.11999999999999922,1.357,no,EROSION
photo-halcyon-katwijk-338-hpr-a3,hpr,the-halcyon-collection,a3,50,1800,GBP,12.0,12.0,11.84,13.42,18.0,6.0,6.16,4.58,0.987,no,OK
photo-halcyon-katwijk-338-pos-6x4-pack10,pos,the-halcyon-collection,6x4,350,2700,GBP,6.0,6.0,,,27.0,21.0,,,,no,NO-US-DATA
photo-halcyon-katwijk-338-pos-6x4-pack20,pos,the-halcyon-collection,6x4,350,4950,GBP,11.0,11.0,,,49.5,38.5,,,,no,NO-US-DATA
photo-halcyon-katwijk-338-pos-6x4-pack50,pos,the-halcyon-collection,6x4,350,11250,GBP,25.0,25.0,,,112.5,87.5,,,,no,NO-US-DATA
photo-halcyon-katwijk-338-pos-6x4-pack100,pos,the-halcyon-collection,6x4,350,19800,GBP,44.0,44.0,,,198.0,154.0,,,,no,NO-US-DATA
photo-halcyon-katwijk-338-pos-7x5-pack10,pos,the-halcyon-collection,7x5,350,4050,GBP,9.0,9.0,,,40.5,31.5,,,,no,NO-US-DATA
photo-halcyon-katwijk-338-pos-7x5-pack20,pos,the-halcyon-collection,7x5,350,7200,GBP,16.0,16.0,,,72.0,56.0,,,,no,NO-US-DATA
photo-halcyon-katwijk-338-pos-7x5-pack50,pos,the-halcyon-collection,7x5,350,17550,GBP,39.0,39.0,,,175.5,136.5,,,,no,NO-US-DATA
photo-halcyon-katwijk-338-pos-7x5-pack100,pos,the-halcyon-collection,7x5,350,32850,GBP,73.0,73.0,,,328.5,255.5,,,,no,NO-US-DATA
photo-halcyon-katwijk-405-can-16x12,can,the-halcyon-collection,16x12,70,4080,GBP,24.0,24.0,,,40.8,16.799999999999997,,,,no,NO-US-DATA
photo-halcyon-katwijk-405-can-20x16,can,the-halcyon-collection,20x16,70,5100,GBP,30.0,30.0,,,51.0,21.0,,,,no,NO-US-DATA
photo-halcyon-katwijk-405-can-40x30,can,the-halcyon-collection,40x30,70,10880,GBP,64.0,64.0,,,108.8,44.8,,,,no,NO-US-DATA
photo-halcyon-katwijk-405-clp-16x20,clp,the-halcyon-collection,16x20,150,2250,GBP,9.0,9.0,,,22.5,13.5,,,,no,NO-US-DATA
photo-halcyon-katwijk-405-clp-24x36,clp,the-halcyon-collection,24x36,150,4250,GBP,17.0,17.0,,,42.5,25.5,,,,no,NO-US-DATA
photo-halcyon-katwijk-405-ema-16x20,ema,the-halcyon-collection,16x20,70,1530,GBP,9.0,9.0,11.1,,15.3,6.300000000000001,4.200000000000001,,1.233,no,OK
photo-halcyon-katwijk-405-ema-a5,ema,the-halcyon-collection,a5,70,595,GBP,3.5,3.5,5.55,,5.95,2.45,0.40000000000000036,,1.586,no,EROSION
photo-halcyon-katwijk-405-ema-24x36,ema,the-halcyon-collection,24x36,70,3060,GBP,18.0,18.0,16.28,,30.6,12.600000000000001,14.32,,0.904,no,OK
photo-halcyon-katwijk-405-ema-a4,ema,the-halcyon-collection,a4,70,850,GBP,5.0,5.0,8.14,,8.5,3.5,0.35999999999999943,,1.628,no,EROSION
photo-halcyon-katwijk-405-ema-a3,ema,the-halcyon-collection,a3,70,1190,GBP,7.0,7.0,10.36,,11.9,4.9,1.540000000000001,,1.48,no,EROSION
photo-halcyon-katwijk-405-fap-a4-black,fap,the-halcyon-collection,a4,60,5600,GBP,35.0,35.0,,,56.0,21.0,,,,no,NO-US-DATA
photo-halcyon-katwijk-405-fap-a4-natural-oak,fap,the-halcyon-collection,a4,60,5600,GBP,35.0,35.0,,,56.0,21.0,,,,no,NO-US-DATA
photo-halcyon-katwijk-405-fap-a4-white,fap,the-halcyon-collection,a4,60,5600,GBP,35.0,35.0,,,56.0,21.0,,,,no,NO-US-DATA
photo-halcyon-katwijk-405-fap-a3-black,fap,the-halcyon-collection,a3,60,8000,GBP,50.0,50.0,,,80.0,30.0,,,,no,NO-US-DATA
photo-halcyon-katwijk-405-fap-a3-natural-oak,fap,the-halcyon-collection,a3,60,8000,GBP,50.0,50.0,,,80.0,30.0,,,,no,NO-US-DATA
photo-halcyon-katwijk-405-fap-a3-white,fap,the-halcyon-collection,a3,60,8000,GBP,50.0,50.0,,,80.0,30.0,,,,no,NO-US-DATA
photo-halcyon-katwijk-405-gre-6x4-pack10,gre,the-halcyon-collection,6x4,250,2800,GBP,8.0,8.0,,,28.0,20.0,,,,no,NO-US-DATA
photo-halcyon-katwijk-405-gre-6x4-pack20,gre,the-halcyon-collection,6x4,250,5250,GBP,15.0,15.0,,,52.5,37.5,,,,no,NO-US-DATA
photo-halcyon-katwijk-405-gre-6x4-pack50,gre,the-halcyon-collection,6x4,250,12600,GBP,36.0,36.0,,,126.0,90.0,,,,no,NO-US-DATA
photo-halcyon-katwijk-405-gre-6x4-pack100,gre,the-halcyon-collection,6x4,250,23100,GBP,66.0,66.0,,,231.0,165.0,,,,no,NO-US-DATA
photo-halcyon-katwijk-405-gre-7x5-pack10,gre,the-halcyon-collection,7x5,250,2800,GBP,8.0,8.0,,,28.0,20.0,,,,no,NO-US-DATA
photo-halcyon-katwijk-405-gre-7x5-pack20,gre,the-halcyon-collection,7x5,250,5250,GBP,15.0,15.0,,,52.5,37.5,,,,no,NO-US-DATA
photo-halcyon-katwijk-405-gre-7x5-pack50,gre,the-halcyon-collection,7x5,250,12600,GBP,36.0,36.0,,,126.0,90.0,,,,no,NO-US-DATA
photo-halcyon-katwijk-405-gre-7x5-pack100,gre,the-halcyon-collection,7x5,250,23100,GBP,66.0,66.0,,,231.0,165.0,,,,no,NO-US-DATA
photo-halcyon-katwijk-405-hge-16x20,hge,the-halcyon-collection,16x20,50,2400,GBP,16.0,16.0,14.06,,24.0,8.0,9.94,,0.879,no,OK
photo-halcyon-katwijk-405-hge-a5,hge,the-halcyon-collection,a5,50,600,GBP,4.0,4.0,5.92,,6.0,2.0,0.08000000000000007,,1.48,no,EROSION
photo-halcyon-katwijk-405-hge-24x36,hge,the-halcyon-collection,24x36,50,5850,GBP,39.0,39.0,30.35,,58.5,19.5,28.15,,0.778,no,OK
photo-halcyon-katwijk-405-hge-a4,hge,the-halcyon-collection,a4,50,900,GBP,6.0,6.0,8.14,,9.0,3.0,0.8599999999999994,,1.357,no,EROSION
photo-halcyon-katwijk-405-hge-a3,hge,the-halcyon-collection,a3,50,1800,GBP,12.0,12.0,11.84,,18.0,6.0,6.16,,0.987,no,OK
photo-halcyon-katwijk-405-hpr-16x20,hpr,the-halcyon-collection,16x20,50,2400,GBP,16.0,16.0,14.06,17.17,24.0,8.0,9.94,6.829999999999998,0.879,no,OK
photo-halcyon-katwijk-405-hpr-a5,hpr,the-halcyon-collection,a5,50,600,GBP,4.0,4.0,5.92,6.98,6.0,2.0,0.08000000000000007,-0.9800000000000004,1.48,no,EROSION
photo-halcyon-katwijk-405-hpr-24x36,hpr,the-halcyon-collection,24x36,50,5850,GBP,39.0,39.0,30.35,41.86,58.5,19.5,28.15,16.64,0.778,no,OK
photo-halcyon-katwijk-405-hpr-a4,hpr,the-halcyon-collection,a4,50,900,GBP,6.0,6.0,8.14,9.12,9.0,3.0,0.8599999999999994,-0.11999999999999922,1.357,no,EROSION
photo-halcyon-katwijk-405-hpr-a3,hpr,the-halcyon-collection,a3,50,1800,GBP,12.0,12.0,11.84,13.42,18.0,6.0,6.16,4.58,0.987,no,OK
photo-halcyon-katwijk-444-can-16x12,can,the-halcyon-collection,16x12,70,4080,GBP,24.0,24.0,,,40.8,16.799999999999997,,,,no,NO-US-DATA
photo-halcyon-katwijk-444-can-20x16,can,the-halcyon-collection,20x16,70,5100,GBP,30.0,30.0,,,51.0,21.0,,,,no,NO-US-DATA
photo-halcyon-katwijk-444-can-40x30,can,the-halcyon-collection,40x30,70,10880,GBP,64.0,64.0,,,108.8,44.8,,,,no,NO-US-DATA
photo-halcyon-katwijk-444-clp-16x20,clp,the-halcyon-collection,16x20,150,2250,GBP,9.0,9.0,,,22.5,13.5,,,,no,NO-US-DATA
photo-halcyon-katwijk-444-clp-24x36,clp,the-halcyon-collection,24x36,150,4250,GBP,17.0,17.0,,,42.5,25.5,,,,no,NO-US-DATA
photo-halcyon-katwijk-444-ema-16x20,ema,the-halcyon-collection,16x20,70,1530,GBP,9.0,9.0,11.1,,15.3,6.300000000000001,4.200000000000001,,1.233,no,OK
photo-halcyon-katwijk-444-ema-a5,ema,the-halcyon-collection,a5,70,595,GBP,3.5,3.5,5.55,,5.95,2.45,0.40000000000000036,,1.586,no,EROSION
photo-halcyon-katwijk-444-ema-24x36,ema,the-halcyon-collection,24x36,70,3060,GBP,18.0,18.0,16.28,,30.6,12.600000000000001,14.32,,0.904,no,OK
photo-halcyon-katwijk-444-ema-a4,ema,the-halcyon-collection,a4,70,850,GBP,5.0,5.0,8.14,,8.5,3.5,0.35999999999999943,,1.628,no,EROSION
photo-halcyon-katwijk-444-ema-a3,ema,the-halcyon-collection,a3,70,1190,GBP,7.0,7.0,10.36,,11.9,4.9,1.540000000000001,,1.48,no,EROSION
photo-halcyon-katwijk-444-fap-a4-black,fap,the-halcyon-collection,a4,60,5600,GBP,35.0,35.0,,,56.0,21.0,,,,no,NO-US-DATA
photo-halcyon-katwijk-444-fap-a4-natural-oak,fap,the-halcyon-collection,a4,60,5600,GBP,35.0,35.0,,,56.0,21.0,,,,no,NO-US-DATA
photo-halcyon-katwijk-444-fap-a4-white,fap,the-halcyon-collection,a4,60,5600,GBP,35.0,35.0,,,56.0,21.0,,,,no,NO-US-DATA
photo-halcyon-katwijk-444-fap-a3-black,fap,the-halcyon-collection,a3,60,8000,GBP,50.0,50.0,,,80.0,30.0,,,,no,NO-US-DATA
photo-halcyon-katwijk-444-fap-a3-natural-oak,fap,the-halcyon-collection,a3,60,8000,GBP,50.0,50.0,,,80.0,30.0,,,,no,NO-US-DATA
photo-halcyon-katwijk-444-fap-a3-white,fap,the-halcyon-collection,a3,60,8000,GBP,50.0,50.0,,,80.0,30.0,,,,no,NO-US-DATA
photo-halcyon-katwijk-444-gre-6x4-pack10,gre,the-halcyon-collection,6x4,250,2800,GBP,8.0,8.0,,,28.0,20.0,,,,no,NO-US-DATA
photo-halcyon-katwijk-444-gre-6x4-pack20,gre,the-halcyon-collection,6x4,250,5250,GBP,15.0,15.0,,,52.5,37.5,,,,no,NO-US-DATA
photo-halcyon-katwijk-444-gre-6x4-pack50,gre,the-halcyon-collection,6x4,250,12600,GBP,36.0,36.0,,,126.0,90.0,,,,no,NO-US-DATA
photo-halcyon-katwijk-444-gre-6x4-pack100,gre,the-halcyon-collection,6x4,250,23100,GBP,66.0,66.0,,,231.0,165.0,,,,no,NO-US-DATA
photo-halcyon-katwijk-444-gre-7x5-pack10,gre,the-halcyon-collection,7x5,250,2800,GBP,8.0,8.0,,,28.0,20.0,,,,no,NO-US-DATA
photo-halcyon-katwijk-444-gre-7x5-pack20,gre,the-halcyon-collection,7x5,250,5250,GBP,15.0,15.0,,,52.5,37.5,,,,no,NO-US-DATA
photo-halcyon-katwijk-444-gre-7x5-pack50,gre,the-halcyon-collection,7x5,250,12600,GBP,36.0,36.0,,,126.0,90.0,,,,no,NO-US-DATA
